district,division,month,month_name,total_area_km2,water_area_km2,water_fraction,year,water_area_calibrated_km2,season
Kurigram,Rangpur,3,March,2481.86,319.02,0.128542,2015,738.3,Pre-Monsoon (Mar-May)
Kushtia,Khulna,3,March,1830.28,57.97,0.031672,2015,134.2,Pre-Monsoon (Mar-May)
Lakshmipur,Chittagong,3,March,1573.07,276.61,0.175842,2015,640.1,Pre-Monsoon (Mar-May)
Lalmonirhat,Rangpur,3,March,1381.75,3.54,0.002561,2015,8.2,Pre-Monsoon (Mar-May)
Madaripur,Dhaka,3,March,1257.23,40.39,0.032129,2015,93.5,Pre-Monsoon (Mar-May)
Magura,Khulna,3,March,1143.98,8.77,0.007669,2015,20.3,Pre-Monsoon (Mar-May)
Manikganj,Dhaka,3,March,1531.92,150.11,0.097987,2015,347.4,Pre-Monsoon (Mar-May)
Maulvibazar,Sylhet,3,March,2819.05,15.13,0.005366,2015,35.0,Pre-Monsoon (Mar-May)
Meherpur,Khulna,3,March,732.79,0.95,0.001296,2015,2.2,Pre-Monsoon (Mar-May)
Munshiganj,Dhaka,3,March,1036.66,70.28,0.067798,2015,162.6,Pre-Monsoon (Mar-May)
Mymensingh,Dhaka,3,March,4784.19,15.68,0.003277,2015,36.3,Pre-Monsoon (Mar-May)
Naogaon,Rajshahi,3,March,3824.58,8.8,0.002301,2015,20.4,Pre-Monsoon (Mar-May)
Narail,Khulna,3,March,1072.86,19.7,0.018362,2015,45.6,Pre-Monsoon (Mar-May)
Narayanganj,Dhaka,3,March,832.16,38.74,0.046549,2015,89.7,Pre-Monsoon (Mar-May)
Narsingdi,Dhaka,3,March,1281.34,49.86,0.038914,2015,115.4,Pre-Monsoon (Mar-May)
Natore,Rajshahi,3,March,2101.7,12.88,0.006129,2015,29.8,Pre-Monsoon (Mar-May)
Nawabganj,Rajshahi,3,March,1804.38,58.51,0.032425,2015,135.4,Pre-Monsoon (Mar-May)
Netrakona,Dhaka,3,March,3089.39,12.71,0.004115,2015,29.4,Pre-Monsoon (Mar-May)
Nilphamari,Rangpur,3,March,1836.84,1.78,0.000968,2015,4.1,Pre-Monsoon (Mar-May)
Noakhali,Chittagong,3,March,2642.03,93.54,0.035406,2015,216.5,Pre-Monsoon (Mar-May)
Pabna,Rajshahi,3,March,2634.14,85.5,0.032457,2015,197.9,Pre-Monsoon (Mar-May)
Panchagarh,Rangpur,3,March,1548.93,0.87,0.000561,2015,2.0,Pre-Monsoon (Mar-May)
Patuakhali,Barisal,3,March,2730.09,195.88,0.071748,2015,453.3,Pre-Monsoon (Mar-May)
Pirojpur,Barisal,3,March,1365.69,81.6,0.059751,2015,188.8,Pre-Monsoon (Mar-May)
Rajbari,Dhaka,3,March,1249.73,99.52,0.079632,2015,230.3,Pre-Monsoon (Mar-May)
Rajshahi,Rajshahi,3,March,2664.72,64.4,0.024169,2015,149.0,Pre-Monsoon (Mar-May)
Rangamati,Chittagong,3,March,6226.79,244.75,0.039306,2015,566.4,Pre-Monsoon (Mar-May)
Rangpur,Rangpur,3,March,2572.65,2.12,0.000825,2015,4.9,Pre-Monsoon (Mar-May)
Satkhira,Khulna,3,March,3543.74,357.5,0.100882,2015,827.3,Pre-Monsoon (Mar-May)
Shariatpur,Dhaka,3,March,1362.06,151.11,0.110945,2015,349.7,Pre-Monsoon (Mar-May)
Sherpur,Dhaka,3,March,1455.19,1.17,0.000804,2015,2.7,Pre-Monsoon (Mar-May)
Sirajganj,Rajshahi,3,March,2755.65,265.33,0.096284,2015,614.0,Pre-Monsoon (Mar-May)
Sunamganj,Sylhet,3,March,4043.04,62.98,0.015578,2015,145.7,Pre-Monsoon (Mar-May)
Sylhet,Sylhet,3,March,3847.75,23.64,0.006145,2015,54.7,Pre-Monsoon (Mar-May)
Tangail,Dhaka,3,March,3707.07,91.37,0.024646,2015,211.4,Pre-Monsoon (Mar-May)
Thakurgaon,Rangpur,3,March,2008.93,1.18,0.000588,2015,2.7,Pre-Monsoon (Mar-May)
Bagerhat,Khulna,4,April,3965.62,135.9,0.034268,2015,314.5,Pre-Monsoon (Mar-May)
Bandarban,Chittagong,4,April,5000.66,0.13,2.5e-05,2015,0.3,Pre-Monsoon (Mar-May)
Barguna,Barisal,4,April,1547.28,115.79,0.074836,2015,268.0,Pre-Monsoon (Mar-May)
Barisal,Barisal,4,April,2767.25,294.89,0.106563,2015,682.4,Pre-Monsoon (Mar-May)
Bhola,Barisal,4,April,2471.69,426.63,0.172605,2015,987.3,Pre-Monsoon (Mar-May)
Bogra,Rajshahi,4,April,3233.63,105.16,0.03252,2015,243.4,Pre-Monsoon (Mar-May)
Brahamanbaria,Chittagong,4,April,2104.07,37.92,0.018023,2015,87.8,Pre-Monsoon (Mar-May)
Chandpur,Chittagong,4,April,1864.17,163.1,0.087491,2015,377.4,Pre-Monsoon (Mar-May)
Chittagong,Chittagong,4,April,4736.75,51.96,0.010969,2015,120.2,Pre-Monsoon (Mar-May)
Chuadanga,Khulna,4,April,1233.0,2.9,0.002352,2015,6.7,Pre-Monsoon (Mar-May)
Comilla,Chittagong,4,April,3351.85,13.24,0.00395,2015,30.6,Pre-Monsoon (Mar-May)
Cox's Bazar,Chittagong,4,April,2206.6,21.14,0.00958,2015,48.9,Pre-Monsoon (Mar-May)
Dhaka,Dhaka,4,April,1611.18,37.69,0.023395,2015,87.2,Pre-Monsoon (Mar-May)
Dinajpur,Rangpur,4,April,3829.09,1.96,0.000512,2015,4.5,Pre-Monsoon (Mar-May)
Faridpur,Dhaka,4,April,2227.54,82.48,0.037029,2015,190.9,Pre-Monsoon (Mar-May)
Feni,Chittagong,4,April,960.78,1.98,0.002064,2015,4.6,Pre-Monsoon (Mar-May)
Gaibandha,Rangpur,4,April,2410.25,107.74,0.044702,2015,249.3,Pre-Monsoon (Mar-May)
Gazipur,Dhaka,4,April,1940.74,6.95,0.003579,2015,16.1,Pre-Monsoon (Mar-May)
Gopalganj,Dhaka,4,April,1602.77,7.38,0.004606,2015,17.1,Pre-Monsoon (Mar-May)
Habiganj,Sylhet,4,April,2857.81,5.11,0.001788,2015,11.8,Pre-Monsoon (Mar-May)
Jamalpur,Dhaka,4,April,2272.36,50.2,0.022091,2015,116.2,Pre-Monsoon (Mar-May)
Jessore,Khulna,4,April,2784.67,16.7,0.005998,2015,38.6,Pre-Monsoon (Mar-May)
Jhalokati,Barisal,4,April,807.93,26.92,0.033315,2015,62.3,Pre-Monsoon (Mar-May)
Jhenaidah,Khulna,4,April,2143.47,7.01,0.003269,2015,16.2,Pre-Monsoon (Mar-May)
Joypurhat,Rajshahi,4,April,1081.54,0.23,0.000217,2015,0.5,Pre-Monsoon (Mar-May)
